Name,Organization (from Organizations),Company type,Product Domain(s),Founding date,Founding source/notes
OpenAI,OpenAI,Foundation,"Language,Video",2015-12-01,https://openai.com/index/introducing-openai/
Anthropic,Anthropic,Foundation,Language,2021-01-26,https://sacra-filings-cois.s3.us-east-2.amazonaws.com/anthropic_coi_2023-09-21.pdf
Google,Google DeepMind,Foundation,"Language,Video",1998-09-04,https://en.wikipedia.org/wiki/History_of_Google?utm_source=chatgpt.com
Mistral AI,Mistral AI,Foundation,Language,2023-04-28,https://en.wikipedia.org/wiki/Mistral_AI
xAI,xAI,Foundation,"Language,Video",2023-03-09,https://www.documentcloud.org/documents/23778277-nevada-incorporation-of-xai/?utm_source=chatgpt.com
DeepSeek,DeepSeek,Foundation,Language,2023-07-17,https://www.bloomberg.com/profile/company/2544189D%3ACH
Meta,Meta AI,Foundation,Language,2004-07-29,https://www.sec.gov/Archives/edgar/data/1326801/000119312512046715/d287954dex31.htm?utm_source=chatgpt.com
