Id,Company,Close date,Status,Funding (equity),Funding (debt),Valuation (post-money),Report date,Source 1,Source 2,Source 3,Graph note,Notes,Type,Confidence,Exclude from graph view
Apr 2023 27B,OpenAI,2023-04-26,Closed,300000000.0,,27000000000.0,,https://www.reuters.com/markets/deals/openai-closes-10-bln-funding-round-27-bln-29-bln-valuation-techcrunch-2023-04-28/,,,,"Reuters says 27-29B, later The Information report just references 27B (https://www.theinformation.com/articles/openai-passes-1-billion-revenue-pace-as-big-companies-boost-ai-spending?rc=4ylmkj)",Primary,Confident,
May 2023 Series C,Anthropic,2023-05-23,Closed,450000000.0,,4500000000.0,2023-05-23,https://www.anthropic.com/news/anthropic-series-c ,,,,"Anthropic did not explicitly disclose valuation.

Reuters says ""sources put it at nearly $5 billion.""

https://www.reuters.com/markets/deals/alphabet-backed-ai-startup-anthropic-raises-450-million-funding-freeze-thaws-2023-05-23/

Crunchbase says pre-money valuation of 4B, for a post-money valuation >$4.45B

https://www.crunchbase.com/funding_round/anthropic-series-c--c12aea10 

Will list as $4.5B, with a small amount of uncertainty",Primary,Likely,
Oct 2023 Google,Anthropic,2023-10-25,Closed,2000000000.0,,,2023-10-27,https://www.cnbc.com/2023/10/27/google-commits-to-invest-2-billion-in-openai-competitor-anthropic.html,,,,"Google investment. ""The commitment involves a $500 million upfront investment and an additional $1.5 billion to be invested over time, an Anthropic spokesperson told CNBC.""

New York Times reported in 2025 that Google owns a 14% stake in Anthropic. This may have accumulated over multiple rounds, and would have been diluted over time

https://www.nytimes.com/2025/03/11/technology/google-investment-anthropic.html ",Primary,Likely,
Dec 2023 18.4B Series D,Anthropic,2024-01-11,Closed,750000000.0,,18400000000.0,2023-12-21,https://www.cnbc.com/2023/12/21/openai-rival-anthropic-in-talks-to-raise-750-million-funding-round.html,,,,"""Anthropic, the OpenAI rival founded by ex-OpenAI employees, is in talks to raise a $750 million funding round led by Menlo Ventures, a person with direct knowledge of the matter told CNBC.
The round would value Anthropic at up to $18.4 billion, per the source — nearly 4.5 times the startup’s $4.1 billion valuation earlier this year.""

Confirmation of closure from NYT and Crunchbase:

https://www.nytimes.com/2024/02/20/technology/anthropic-funding-ai.html

""This month, the venture capital firm Menlo Ventures closed a deal to invest $750 million in Anthropic.""

Crunchbase notes an announce date of Jan 11, and a pre-money valuation of $17.7B, corroborating the valuation.

https://www.crunchbase.com/funding_round/anthropic-series-d--88e90601 
",Primary,Likely,
Feb 2024 80B,OpenAI,2024-02-16,Closed,0.0,,80000000000.0,2024-02-16,https://www.nytimes.com/2024/02/16/technology/openai-artificial-intelligence-deal-valuation.html ,,,,"""OpenAI has completed a deal that values the San Francisco artificial intelligence company at $80 billion or more, nearly tripling its valuation in less than 10 months, according to three people with knowledge of the deal.

The company would sell existing shares in a so-called tender offer led by the venture firm Thrive Capital, the people said. The deal lets employees cash out their shares in the company, rather than a traditional funding round that would raise money for business operations.""",Secondary,Likely,
Amazon March 2024,Anthropic,2024-03-27,Closed,4000000000.0,,,2024-03-27,https://www.aboutamazon.com/news/company-news/amazon-anthropic-ai-investment,,,,"""Deepening our commitment to advancing generative AI, today we have an update on the announcement we made to invest up to $4 billion in Anthropic for a minority ownership position in the company. Last September, we made an initial investment of $1.25 billion. Today, we made our additional $2.75 billion investment, bringing our total investment in Anthropic to $4 billion.""

This came in two stages, concluding in March 2024. Using one entry for simplicity. Valuation not disclosed",Primary,Likely,
May 2024 24B Series B,xAI,2024-05-27,Closed,6000000000.0,,24000000000.0,2024-05-27,https://x.ai/news/series-b,,,,"""xAI is pleased to announce...

Our Series B funding round of $6 billion with participation from key investors including Valor Equity Partners, Vy Capital, Andreessen Horowitz, Sequoia Capital, Fidelity Management & Research Company, Prince Alwaleed Bin Talal and Kingdom Holding, amongst others.""

pre-money valuation was 18B, so post-money is 24B:

https://techcrunch.com/2024/05/26/elon-musks-xai-raises-6b-from-valor-a16z-and-sequoia/",Primary,Confident,
June 2024 6B,Mistral AI,2024-06-11,Closed,500000000.0,140000000.0,6000000000.0,2024-06-11,https://techcrunch.com/2024/06/11/paris-based-ai-startup-mistral-ai-raises-640-million/,,,,"""Mistral AI has closed its much-rumored Series B funding round, raising €600 million (around $640 million at today’s exchange rate) in a mix of equity and debt. General Catalyst led the round. As TechCrunch previously reported, the startup is now valued at $6 billion following this funding round...

According to the Financial Times, Mistral AI raised €468 million in equity and €132 million in debt (around $500 million and $140 million, respectively)""

Equity+debt mix","Primary,Debt",Confident,
Oct 2024 157B,OpenAI,2024-10-02,Closed,6600000000.0,4000000000.0,157000000000.0,2024-10-02,https://openai.com/index/scale-the-benefits-of-ai/,https://openai.com/index/new-credit-facility-enhances-financial-flexibility/,https://www.reuters.com/technology/artificial-intelligence/openai-closes-66-billion-funding-haul-valuation-157-billion-with-investment-2024-10-02/ ,,"From OAI: ""We’ve raised $6.6B in new funding at a $157B post-money valuation to accelerate progress on our mission""

Per Reuters, these investments are convertible notes contingent on OAI converting to a for-profit. (I.e. they start out as debt and convert to equity if OAI becomes a for-profit)

""The funding has attracted returning venture capital investors including Thrive Capital and Khosla Ventures, as well as OpenAI's biggest corporate backer Microsoft (MSFT.O), opens new tab, and new participation from Nvidia (NVDA.O)...
Altimeter Capital, Fidelity (FNF.N), opens new tab, SoftBank (9984.T), opens new tab, and Abu Dhabi's state-backed investment firm MGX also participated in the round...
The funding came in the form of convertible notes, and the conversion to equity hinges on a successful structural change into a for-profit that would no longer be controlled by the non-profit board and the removal of cap on returns for investors.""",Primary,Confident,
Dec 2024 Series C,xAI,2024-11-20,Closed,6000000000.0,,45000000000.0,2024-11-20,https://x.ai/news/series-c,,,,"Raised 6B: ""We have closed our Series C funding round of $6 billion with participation from key investors including A16Z, Blackrock, Fidelity Management & Research Company, Kingdom Holdings, Lightspeed, MGX, Morgan Stanley, OIA, QIA, Sequoia Capital, Valor Equity Partners and Vy Capital, amongst others. Strategic investors NVIDIA and AMD also participated""

Post money valuation was 45B, based on reporting and regulatory filings

https://techcrunch.com/2024/12/25/elon-musks-xai-lands-billions-in-new-cash-to-fuel-ai-ambitions/ 

https://www.saudiexchange.sa/wps/portal/saudiexchange/newsandreports/issuer-news/issuer-announcements/issuer-announcements-details?locale=en&anCat=63&anId=84332&cs=4280 ",Primary,Confident,
